"id_municipio","Município","Situação do domicílio","Grupo de idade","rural_pop"
"1505437","Ourilândia do Norte (PA)","Rural","Total","27.22"
"1505486","Pacajá (PA)","Rural","Total","65.61"
"1505494","Palestina do Pará (PA)","Rural","Total","39.18"
"1505502","Paragominas (PA)","Rural","Total","21.78"
"1505536","Parauapebas (PA)","Rural","Total","9.89"
"1505551","Pau D'Arco (PA)","Rural","Total","39.65"
"1505601","Peixe-Boi (PA)","Rural","Total","46.92"
"1505635","Piçarra (PA)","Rural","Total","71.80"
"1505650","Placas (PA)","Rural","Total","79.72"
"1505700","Ponta de Pedras (PA)","Rural","Total","52.21"
"1505809","Portel (PA)","Rural","Total","52.37"
"1505908","Porto de Moz (PA)","Rural","Total","57.05"
"1506005","Prainha (PA)","Rural","Total","69.47"
"1506104","Primavera (PA)","Rural","Total","37.76"
"1506112","Quatipuru (PA)","Rural","Total","57.19"
"1506138","Redenção (PA)","Rural","Total","7.27"
"1506161","Rio Maria (PA)","Rural","Total","23.65"
"1506187","Rondon do Pará (PA)","Rural","Total","26.12"
"1506195","Rurópolis (PA)","Rural","Total","61.90"
"1506203","Salinópolis (PA)","Rural","Total","10.77"
"1506302","Salvaterra (PA)","Rural","Total","37.21"
"1506351","Santa Bárbara do Pará (PA)","Rural","Total","68.16"
"1506401","Santa Cruz do Arari (PA)","Rural","Total","51.02"
"1506500","Santa Izabel do Pará (PA)","Rural","Total","27.69"
"1506559","Santa Luzia do Pará (PA)","Rural","Total","55.25"
"1506583","Santa Maria das Barreiras (PA)","Rural","Total","63.05"
"1506609","Santa Maria do Pará (PA)","Rural","Total","42.12"
"1506708","Santana do Araguaia (PA)","Rural","Total","47.17"
"1506807","Santarém (PA)","Rural","Total","26.75"
"1506906","Santarém Novo (PA)","Rural","Total","70.54"
"1507003","Santo Antônio do Tauá (PA)","Rural","Total","44.25"
"1507102","São Caetano de Odivelas (PA)","Rural","Total","58.81"
"1507151","São Domingos do Araguaia (PA)","Rural","Total","34.05"
"1507201","São Domingos do Capim (PA)","Rural","Total","77.92"
"1507300","São Félix do Xingu (PA)","Rural","Total","50.61"
"1507409","São Francisco do Pará (PA)","Rural","Total","66.05"
"1507458","São Geraldo do Araguaia (PA)","Rural","Total","46.89"
