"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"4317509","Santo Ângelo (RS)","Total","Total","81.70","1.86","15.44","0.07"
"4317558","Santo Antônio do Palma (RS)","Total","Total","90.22","1.17","8.39","0.05"
"4317608","Santo Antônio da Patrulha (RS)","Total","Total","91.04","4.00","4.75","0.03"
"4317707","Santo Antônio das Missões (RS)","Total","Total","71.40","5.69","22.50","-"
"4317756","Santo Antônio do Planalto (RS)","Total","Total","92.64","0.49","6.45","-"
"4317806","Santo Augusto (RS)","Total","Total","80.04","1.85","17.39","0.15"
"4317905","Santo Cristo (RS)","Total","Total","92.51","1.08","6.36","-"
"4317954","Santo Expedito do Sul (RS)","Total","Total","93.35","1.74","4.79","-"
"4318002","São Borja (RS)","Total","Total","79.79","3.36","16.59","0.04"
"4318051","São Domingos do Sul (RS)","Total","Total","93.19","1.60","4.99","-"
"4318101","São Francisco de Assis (RS)","Total","Total","87.42","2.77","9.71","0.03"
"4318200","São Francisco de Paula (RS)","Total","Total","76.92","5.77","14.68","0.58"
"4318309","São Gabriel (RS)","Total","Total","80.77","5.80","13.14","0.02"
"4318408","São Jerônimo (RS)","Total","Total","85.37","5.66","8.52","0.07"
"4318424","São João da Urtiga (RS)","Total","Total","91.76","0.79","7.21","-"
"4318432","São João do Polêsine (RS)","Total","Total","79.85","9.37","10.78","-"
"4318440","São Jorge (RS)","Total","Total","91.89","4.71","3.40","-"
"4318457","São José das Missões (RS)","Total","Total","66.36","0.71","31.99","0.06"
"4318465","São José do Herval (RS)","Total","Total","71.88","4.74","22.41","-"
"4318481","São José do Hortêncio (RS)","Total","Total","98.11","0.55","1.27","-"
"4318499","São José do Inhacorá (RS)","Total","Total","94.13","0.54","5.05","-"
"4318507","São José do Norte (RS)","Total","Total","76.96","7.31","15.38","0.09"
"4318606","São José do Ouro (RS)","Total","Total","84.57","1.84","12.99","0.04"
"4318614","São José do Sul (RS)","Total","Total","97.35","0.45","1.84","0.36"
"4318622","São José dos Ausentes (RS)","Total","Total","73.98","4.04","21.03","-"
"4318705","São Leopoldo (RS)","Total","Total","86.06","4.83","8.73","0.08"
"4318804","São Lourenço do Sul (RS)","Total","Total","90.07","5.36","4.25","0.02"
"4318903","São Luiz Gonzaga (RS)","Total","Total","79.00","1.84","18.14","0.16"
"4319000","São Marcos (RS)","Total","Total","90.07","2.08","7.53","-"
"4319109","São Martinho (RS)","Total","Total","89.56","1.83","7.11","-"
"4319125","São Martinho da Serra (RS)","Total","Total","95.41","1.61","2.98","-"
